week_index,day_index,Shift,Hour,Avg_PassengersHour_3yr,Avg_BoothsHour_3yr
2,2,16-00,23,231,6.666666667
2,3,00-08,0,172.5,4.5
2,3,00-08,1,95.5,6
2,3,00-08,2,98,4
2,3,00-08,3,160,4.5
2,3,00-08,4,141,6
2,3,00-08,5,352.3333333,8.333333333
2,3,00-08,6,527.6666667,8.666666667
2,3,00-08,7,367,14
2,3,08-16,8,522.6666667,16.66666667
2,3,08-16,9,315,12.33333333
2,3,08-16,10,180.6666667,12.33333333
2,3,08-16,11,205,9
2,3,08-16,12,522,15.5
2,3,08-16,13,224.6666667,14.33333333
2,3,08-16,14,978,17
2,3,08-16,15,1218,17
2,3,16-00,16,947,18
2,3,16-00,17,226,9
2,3,16-00,18,253,8.666666667
2,3,16-00,19,1202.666667,12
2,3,16-00,20,714,8.666666667
2,3,16-00,21,108,6.5
2,3,16-00,22,153.6666667,5.333333333
2,3,16-00,23,137.3333333,4.666666667
2,4,00-08,0,218.5,4
2,4,00-08,1,105.6666667,3.666666667
2,4,00-08,2,140.3333333,4.666666667
2,4,00-08,3,83.5,3.5
2,4,00-08,4,218,6
2,4,00-08,5,436,7.666666667
2,4,00-08,6,253.3333333,8.666666667
2,4,00-08,7,589,12
2,4,08-16,8,649,18.5
2,4,08-16,9,306.3333333,10.66666667
2,4,08-16,10,140,11
2,4,08-16,11,107,8.666666667
2,4,08-16,12,394.5,9.5
2,4,08-16,13,203,14
2,4,08-16,14,1111,18.33333333
2,4,08-16,15,1156,17.66666667
2,4,16-00,16,1018,19.66666667
2,4,16-00,17,623,21.5
2,4,16-00,18,207.3333333,9
2,4,16-00,19,747.3333333,11.66666667
2,4,16-00,20,1000.666667,10.33333333
2,4,16-00,21,234,10
2,4,16-00,22,182.6666667,5.666666667
2,4,16-00,23,177.3333333,5.333333333
2,5,00-08,0,341.5,6.5
2,5,00-08,1,166.6666667,5.333333333
2,5,00-08,2,143,4
2,5,00-08,3,141,5.5
2,5,00-08,4,234,6
2,5,00-08,5,284.6666667,7
2,5,00-08,6,415,9.333333333
2,5,00-08,7,290,13
2,5,08-16,8,746,14.66666667
2,5,08-16,9,333.6666667,11.66666667
2,5,08-16,10,219,10
2,5,08-16,11,119.6666667,9
2,5,08-16,12,216,11
2,5,08-16,13,292.3333333,10
2,5,08-16,14,962,16
2,5,08-16,15,1383,17.33333333
2,5,16-00,16,1164.333333,17
2,5,16-00,17,331,14
2,5,16-00,18,436.5,13
2,5,16-00,19,688.6666667,12.66666667
2,5,16-00,20,989,10.33333333
2,5,16-00,21,262,7.666666667
2,5,16-00,22,279,6
2,5,16-00,23,254.6666667,6
